country,year,planting_area_ha,production_tons,yield_per_ha_tons
China,2015,1570000.0,112000000.0,71.34
China,2016,1600000.0,116000000.0,72.5
China,2017,1650000.0,120000000.0,72.73
China,2018,1620000.0,118000000.0,72.84
China,2019,1640000.0,119000000.0,72.56
China,2020,1353380.0,108121000.0,79.88
China,2021,1476180.0,106664000.0,72.26
China,2022,1289170.0,103381299.99999999,80.19
China,2023,1265130.0,104565500.0,82.65
China,2024,1300000.0,105000000.0,80.77
Thailand,2015,1700000.0,85000000.0,50.0
Thailand,2016,1720000.0,87000000.0,50.58
Thailand,2017,1750000.0,90000000.0,51.43
Thailand,2018,1730000.0,88000000.0,50.87
Thailand,2019,1780000.0,92000000.0,51.69
Thailand,2020,1900000.0,74900000.0,39.42
Thailand,2021,1856000.0,66700000.0,35.94
Thailand,2022,1750000.0,93900000.0,53.66
Thailand,2023,1700000.0,82200000.0,48.35
Thailand,2024,1680000.0,85000000.0,50.6
Vietnam,2015,280000.0,17000000.0,60.71
Vietnam,2016,285000.0,17800000.0,62.46
Vietnam,2017,290000.0,18500000.0,63.79
Vietnam,2018,288000.0,18200000.0,63.19
Vietnam,2019,292000.0,18800000.0,64.38
Vietnam,2020,153000.0,9635600.0,62.98
Vietnam,2021,146000.0,8000000.0,54.79
Vietnam,2022,151300.0,8760000.0,57.9
Vietnam,2023,160000.0,10953000.0,68.46
Vietnam,2024,155000.0,10500000.0,67.74
Myanmar,2015,165000.0,9800000.0,59.39
Myanmar,2016,168000.0,10200000.0,60.71
Myanmar,2017,170000.0,10500000.0,61.76
Myanmar,2018,172000.0,10300000.0,59.88
Myanmar,2019,175000.0,10800000.0,61.71
Myanmar,2020,180000.0,9500000.0,52.78
Myanmar,2021,178000.0,8900000.0,50.0
Myanmar,2022,170000.0,10000000.0,58.82
Myanmar,2023,168000.0,10200000.0,60.71
Myanmar,2024,165000.0,10000000.0,60.61
Laos,2015,25000.0,1200000.0,48.0
Laos,2016,26000.0,1280000.0,49.23
Laos,2017,27000.0,1350000.0,50.0
Laos,2018,28000.0,1320000.0,47.14
Laos,2019,30000.0,1450000.0,48.33
Laos,2020,32000.0,1380000.0,43.13
Laos,2021,30000.0,1200000.0,40.0
Laos,2022,28000.0,1350000.0,48.21
Laos,2023,29000.0,1400000.0,48.28
Laos,2024,30000.0,1450000.0,48.33
