city,year,planting_area_mu,total_yield_tons,yield_per_mu_tons,source_type
南宁市,2015,211.35,1085.33,5.1352,interpolated
南宁市,2016,210.15,1115.47,5.308,interpolated
南宁市,2017,202.61,1115.0,5.5031,interpolated
南宁市,2018,195.07,1111.73,5.699,interpolated
南宁市,2019,187.54,1096.83,5.8486,interpolated
南宁市,2020,180.0,1091.94,6.0663,interpolated
南宁市,2021,177.88,1038.99,5.841,interpolated
南宁市,2022,175.76,977.39,5.5609,interpolated
南宁市,2023,173.64,924.79,5.3259,interpolated
南宁市,2024,171.52,864.63,5.041,extrapolated
崇左市,2015,400.0,2382.4,5.956,interpolated
崇左市,2016,402.0,2418.56,6.0163,interpolated
崇左市,2017,404.0,2507.71,6.2072,interpolated
崇左市,2018,406.0,2558.86,6.3026,interpolated
崇左市,2019,408.0,2619.56,6.4205,interpolated
崇左市,2020,408.41,2589.16,6.3396,interpolated
崇左市,2021,408.82,2576.77,6.303,interpolated
崇左市,2022,409.23,2537.95,6.2018,interpolated
崇左市,2023,411.15,2564.15,6.2365,interpolated
崇左市,2024,408.91,2570.34,6.2858,extrapolated
来宾市,2015,178.0,1204.78,6.7684,interpolated
来宾市,2016,179.0,1193.22,6.666,interpolated
来宾市,2017,180.0,1229.11,6.8284,interpolated
来宾市,2018,179.5,1108.72,6.1767,interpolated
来宾市,2019,179.98,1097.53,6.0982,interpolated
来宾市,2020,180.45,1080.37,5.9869,interpolated
来宾市,2021,180.93,1067.98,5.9027,interpolated
来宾市,2022,181.41,1059.16,5.8385,interpolated
来宾市,2023,181.75,1041.18,5.7285,interpolated
来宾市,2024,182.1,1036.17,5.6901,extrapolated
柳州市,2015,120.05,435.0,3.6235,interpolated
柳州市,2016,120.18,453.69,3.7751,interpolated
柳州市,2017,120.31,473.81,3.9382,interpolated
柳州市,2018,120.44,494.56,4.1063,interpolated
柳州市,2019,120.57,515.92,4.279,interpolated
柳州市,2020,120.7,535.73,4.4385,interpolated
柳州市,2021,120.83,555.28,4.5955,interpolated
柳州市,2022,120.96,576.83,4.7688,interpolated
柳州市,2023,105.3,519.96,4.9379,interpolated
柳州市,2024,111.0,563.62,5.0776,extrapolated
河池市,2015,95.0,362.36,3.8143,interpolated
河池市,2016,90.0,344.53,3.8281,interpolated
河池市,2017,85.0,345.49,4.0646,interpolated
河池市,2018,80.0,296.07,3.7009,interpolated
河池市,2019,74.7,309.52,4.1435,interpolated
河池市,2020,75.31,324.32,4.3065,interpolated
河池市,2021,75.92,340.23,4.4815,interpolated
河池市,2022,76.53,356.59,4.6595,interpolated
河池市,2023,77.14,372.54,4.8293,interpolated
河池市,2024,77.75,390.13,5.0177,extrapolated
百色市,2015,94.79,390.07,4.1151,interpolated
百色市,2016,90.23,367.49,4.0728,interpolated
百色市,2017,85.67,347.45,4.0555,interpolated
百色市,2018,81.12,326.78,4.0286,interpolated
百色市,2019,76.56,304.45,3.9767,interpolated
百色市,2020,72.0,285.46,3.9647,interpolated
百色市,2021,67.44,265.65,3.9389,interpolated
百色市,2022,62.88,244.73,3.8917,interpolated
百色市,2023,58.33,225.0,3.8576,interpolated
百色市,2024,53.77,207.63,3.8617,extrapolated
防城港市,2015,60.0,293.17,4.8862,interpolated
防城港市,2016,59.5,297.27,4.9962,interpolated
防城港市,2017,59.0,299.45,5.0754,interpolated
防城港市,2018,58.5,301.08,5.1467,interpolated
防城港市,2019,58.0,303.94,5.2403,interpolated
防城港市,2020,58.0,310.36,5.3511,interpolated
防城港市,2021,58.0,316.72,5.4607,interpolated
防城港市,2022,58.0,325.03,5.604,interpolated
防城港市,2023,51.81,273.89,5.2864,interpolated
防城港市,2024,45.62,227.1,4.9781,extrapolated
