emission_source,emission_factor_unit,emission_factor_value,gwp_100year,source,citation
N_fertilizer_application,kg_N2O-N_per_kg_N,0.01,273,IPCC_2006,"IPCC 2006, Vol.4, Ch.11, Table 11.1 (Default EF for synthetic N); GWP updated to AR6"
P_fertilizer_application,kg_CO2_per_kg_P2O5,0.2,1,IPCC_2006,"IPCC 2006, Vol.4, Ch.11, Section 11.2.2"
K_fertilizer_application,kg_CO2_per_kg_K2O,0.15,1,IPCC_2006,"IPCC 2006, Vol.4, Ch.11, Section 11.2.2"
agricultural_lime_application,kg_CO2_per_kg_CaCO3,0.44,1,IPCC_2006,"IPCC 2006, Vol.4, Ch.11, Eq. 11.12"
diesel_fuel_combustion,kg_CO2_per_L,2.68,1,IPCC_2006,"IPCC 2006, Vol.2, Ch.3, Table 3.2.1 (Gas Oil/Diesel)"
diesel_fuel_combustion,kg_CH4_per_L,0.0002,27,IPCC_2006,"IPCC 2006, Vol.2, Ch.3, Table 3.2.1 (Mobile Combustion, CH4); GWP updated to AR6 fossil"
diesel_fuel_combustion,kg_N2O_per_L,0.0001,273,IPCC_2006,"IPCC 2006, Vol.2, Ch.3, Table 3.2.1 (Mobile Combustion, N2O); GWP updated to AR6"
coal_combustion_industrial,kg_CO2_per_GJ,94.6,1,IPCC_2006,"IPCC 2006, Vol.2, Ch.2, Table 2.2 (Sub-bituminous Coal)"
coal_combustion_industrial,kg_CH4_per_GJ,0.001,27,IPCC_2006,"IPCC 2006, Vol.2, Ch.2, Table 2.2 (Industrial Coal, CH4); GWP updated to AR6 fossil"
coal_combustion_industrial,kg_N2O_per_GJ,0.0015,273,IPCC_2006,"IPCC 2006, Vol.2, Ch.2, Table 2.2 (Industrial Coal, N2O); GWP updated to AR6"
natural_gas_combustion,kg_CO2_per_GJ,56.1,1,IPCC_2006,"IPCC 2006, Vol.2, Ch.2, Table 2.2 (Natural Gas)"
electricity_grid_China,kg_CO2_per_kWh,0.5703,1,China_MEE_2022,"中国生态环境部 2022年度中国电网排放因子 (2022年12月发布)"
electricity_grid_Thailand,kg_CO2_per_kWh,0.4892,1,Thailand_EGAT_2022,"Thailand EGAT 2022 Grid Emission Factor (2022 Annual Report)"
electricity_grid_Vietnam,kg_CO2_per_kWh,0.5238,1,Vietnam_MOIT_2022,"Vietnam MOIT 2022 Grid Emission Factor (Decision No.2726/QD-BCT)"
electricity_grid_Myanmar,kg_CO2_per_kWh,0.4500,1,Myanmar_estimate,"Myanmar grid emission factor (估算, 基于IEA 2022 Myanmar Energy Outlook, 水电占比约60%)"
electricity_grid_Laos,kg_CO2_per_kWh,0.3500,1,Laos_estimate,"Laos grid emission factor (估算, 基于IEA 2022 Laos Energy Statistics, 水电占比约70%)"
bagasse_combustion,kg_CO2_per_GJ,0,1,IPCC_2006_biomass,"IPCC 2006, Vol.2, Ch.2: Biomass CO2 = 0 (carbon neutral)"
sugarcane_burning_field,kg_CO2_per_ton_burned,1500,1,Literature_avg,"Andreae & Merlet (2001) Global Biogeochem. Cyc. 15(4):955-966; de Carvalho et al. (2019) J. Clean. Prod. 234:1234-1243"
sugarcane_burning_field,kg_CH4_per_ton_burned,2.3,29.8,Literature_avg,"Andreae & Merlet (2001), Table 1; França et al. (2012) Atm. Env. 62:247-255; GWP updated to AR6 non-fossil"
sugarcane_burning_field,kg_N2O_per_ton_burned,0.07,273,Literature_avg,"Andreae & Merlet (2001), Table 1; Silva et al. (2017) Sci. Total Env. 605:1195-1204; GWP updated to AR6"
soil_carbon_sequestration_no_till,kg_CO2_per_ha_per_year,-500,1,Literature_avg,"Lal (2004) Science 304:1623-1627; IPCC 2019 Refinement, Vol.4, Ch.5, Table 5.5"
soil_carbon_sequestration_cover_crop,kg_CO2_per_ha_per_year,-300,1,Literature_avg,"IPCC 2019 Refinement, Vol.4, Ch.5, Section 5.3.2; Poeplau & Don (2015) Glob. Change Biol. 21:658-672"
biomass_pellet_substitution_coal,kg_CO2_per_ton_pellet,-1800,1,Literature_avg,"Cherubini et al. (2009) Resour. Conserv. Recy. 53:434-447; IPCC 2011 Renewable Energy, Ch.2, Table 2.8"
biogas_substitution_natural_gas,kg_CO2_per_m3_biogas,-2.0,1,Literature_avg,"IPCC 2011 Renewable Energy, Ch.2, Table 2.1; Cao et al. (2016) Renew. Sust. Energy Rev. 55:1021-1033"
