city,year,month,avg_temp_c,precipitation_mm,sunshine_hours,humidity_pct,pressure_hpa,wind_speed_ms,evapotranspiration_mm,soil_temp_c,soil_moisture_m3m3,country,region
Thailand/nakhon_ratchasima,2010,1,27.0,0.0,10.817430555555555,64,988.8,5.4,4.01,28.8,0.258,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,27.4,0.0,10.82706111111111,61,989.2,5.5,4.36,29.1,0.256,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,26.8,0.0,10.836644444444444,62,989.8,6.8,4.25,29.0,0.255,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,27.0,0.0,10.84615,64,988.3,5.7,4.02,29.2,0.254,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,27.8,0.0,10.855555555555556,64,987.7,4.1,3.69,29.9,0.254,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,27.9,0.8,9.702897222222223,64,988.9,5.1,3.56,29.9,0.254,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,26.7,0.0,10.306386111111111,70,991.4,6.8,2.93,28.8,0.256,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,22.4,7.8,1.5842500000000002,86,993.2,8.7,1.29,25.1,0.301,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,23.1,0.0,7.470347222222222,75,991.9,6.0,3.3,25.2,0.347,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,24.9,0.0,10.903233333333333,69,990.5,3.0,3.9,26.6,0.333,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,25.8,0.0,10.913052777777777,64,990.8,3.4,3.8,27.3,0.32,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,25.0,0.0,10.922925,61,991.9,9.0,4.5,26.6,0.308,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,22.6,0.0,10.932825,58,995.1,12.6,4.62,25.6,0.299,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,22.2,0.0,10.942736111111111,58,997.1,12.8,4.64,25.2,0.291,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,22.8,0.0,10.53191111111111,62,996.2,8.3,4.24,25.4,0.286,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,23.7,0.0,7.658316666666666,61,996.7,15.4,4.45,25.4,0.281,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,23.0,0.0,10.972319444444445,58,997.1,14.5,5.07,25.5,0.277,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,22.0,0.0,10.98206388888889,58,996.0,12.0,4.49,24.8,0.273,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,22.7,0.0,10.991719444444445,61,993.3,8.9,4.38,25.2,0.27,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,23.5,6.5,7.380908333333333,71,992.3,9.7,2.76,25.0,0.29,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,21.5,30.9,0.0,93,991.2,8.7,0.47,22.8,0.444,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,23.7,10.0,7.2691027777777775,90,991.8,5.1,1.93,24.4,0.454,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,23.8,13.8,8.627147222222222,90,992.3,4.6,2.19,24.8,0.459,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,24.0,0.8,10.368694444444445,80,992.9,8.5,3.18,25.2,0.475,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,24.4,0.0,11.0,75,992.9,7.5,3.76,25.4,0.453,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,24.1,0.0,7.368983333333333,68,993.5,11.0,3.44,25.1,0.436,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,24.2,0.0,11.0,69,993.1,7.6,4.13,25.6,0.421,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,25.5,0.0,11.0,70,992.0,5.4,4.34,26.1,0.406,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,26.4,0.0,11.0,68,991.8,4.6,4.33,26.6,0.391,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,26.1,0.0,11.0,70,991.0,5.3,3.93,26.8,0.378,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,1,26.8,0.0,11.0,74,991.3,6.0,4.06,27.8,0.367,Thailand,nakhon_ratchasima
