station_id,city,year,month,avg_temp_c,precipitation_mm,sunshine_hours
59431,南宁市,2015,1,13.7,40.2,86
59431,南宁市,2015,2,15.5,58.3,98
59431,南宁市,2015,3,19.5,77.5,117
59431,南宁市,2015,4,23.6,129.7,130
59431,南宁市,2015,5,26.8,194.2,155
59431,南宁市,2015,6,28.8,233.2,150
59431,南宁市,2015,7,29.8,202.9,168
59431,南宁市,2015,8,29.1,196.8,156
59431,南宁市,2015,9,27.7,98.6,146
59431,南宁市,2015,10,24.2,67.3,132
59431,南宁市,2015,11,20.2,48.0,116
59431,南宁市,2015,12,14.6,30.6,103
59431,南宁市,2016,1,14.0,33.0,81
59431,南宁市,2016,2,15.9,48.0,89
59431,南宁市,2016,3,19.6,72.7,102
59431,南宁市,2016,4,23.6,107.9,128
59431,南宁市,2016,5,27.2,163.9,139
59431,南宁市,2016,6,29.2,188.9,135
59431,南宁市,2016,7,29.8,173.5,162
59431,南宁市,2016,8,29.0,150.3,147
59431,南宁市,2016,9,27.9,72.9,146
59431,南宁市,2016,10,24.2,63.1,125
59431,南宁市,2016,11,20.0,32.6,110
59431,南宁市,2016,12,15.0,25.5,97
59431,南宁市,2017,1,13.3,40.2,86
59431,南宁市,2017,2,15.3,49.6,98
59431,南宁市,2017,3,19.2,81.3,118
59431,南宁市,2017,4,23.1,120.4,139
59431,南宁市,2017,5,26.6,181.1,149
59431,南宁市,2017,6,28.3,241.2,154
59431,南宁市,2017,7,29.8,188.5,165
59431,南宁市,2017,8,28.7,160.5,163
59431,南宁市,2017,9,27.6,90.7,150
59431,南宁市,2017,10,24.2,68.5,140
59431,南宁市,2017,11,19.8,39.2,110
59431,南宁市,2017,12,14.3,31.7,97
59431,南宁市,2018,1,14.5,41.2,89
59431,南宁市,2018,2,16.5,46.3,89
59431,南宁市,2018,3,20.2,75.9,105
59431,南宁市,2018,4,24.2,111.1,128
59431,南宁市,2018,5,27.3,175.8,141
59431,南宁市,2018,6,29.3,196.7,143
59431,南宁市,2018,7,30.7,188.3,169
59431,南宁市,2018,8,29.7,155.9,159
59431,南宁市,2018,9,28.1,92.6,138
59431,南宁市,2018,10,25.1,57.3,137
59431,南宁市,2018,11,20.6,42.2,103
59431,南宁市,2018,12,15.3,31.8,97
59431,南宁市,2019,1,13.5,33.5,81
59431,南宁市,2019,2,15.8,44.7,91
59431,南宁市,2019,3,18.9,66.6,98
59431,南宁市,2019,4,22.9,108.8,119
59431,南宁市,2019,5,26.5,154.5,142
59431,南宁市,2019,6,28.5,195.8,136
59431,南宁市,2019,7,29.8,158.9,161
59431,南宁市,2019,8,29.0,141.1,154
59431,南宁市,2019,9,27.7,73.1,137
59431,南宁市,2019,10,24.1,62.5,123
59431,南宁市,2019,11,19.6,35.4,104
59431,南宁市,2019,12,14.5,26.8,93
59431,南宁市,2020,1,13.5,45.0,85
59431,南宁市,2020,2,16.0,55.0,90
59431,南宁市,2020,3,19.5,80.0,105
59431,南宁市,2020,4,23.0,120.0,125
59431,南宁市,2020,5,27.0,180.0,150
59431,南宁市,2020,6,29.0,215.0,140
59431,南宁市,2020,7,30.0,190.0,165
59431,南宁市,2020,8,29.0,165.0,155
59431,南宁市,2020,9,27.5,95.0,145
59431,南宁市,2020,10,24.0,70.0,130
59431,南宁市,2020,11,20.0,40.0,110
59431,南宁市,2020,12,14.5,35.0,95
59431,南宁市,2021,1,14.0,35.0,88
59431,南宁市,2021,2,16.5,45.0,95
59431,南宁市,2021,3,20.0,85.0,110
59431,南宁市,2021,4,24.0,130.0,132
59431,南宁市,2021,5,27.5,190.0,155
59431,南宁市,2021,6,29.5,230.0,145
59431,南宁市,2021,7,30.5,180.0,168
59431,南宁市,2021,8,29.5,170.0,160
59431,南宁市,2021,9,28.0,85.0,150
59431,南宁市,2021,10,24.5,70.0,135
59431,南宁市,2021,11,20.5,38.0,112
59431,南宁市,2021,12,15.0,28.0,100
59431,南宁市,2022,1,13.0,42.0,82
59431,南宁市,2022,2,14.5,55.0,92
